Freq1,S13,Freq2,S14,Freq3,S23,Label
9.4510,-50.809,11.285,-42.356,,,1
9.6401,-50.697,11.546,-43.337,,,1
9.8830,-51.586,11.769,-44.595,,,1
10.116,-51.430,11.952,-45.622,,,1
10.326,-50.238,,,,,1
10.560,-49.169,,,,,1
10.816,-48.542,,,,,1
11.073,-48.149,,,,,1
11.329,-48.135,,,,,1
11.539,-48.430,,,,,1
11.678,-49.645,,,,,1
11.794,-50.672,,,,,1
11.922,-51.877,,,,,1
12.014,-52.565,,,,,1
